Time_Index,NG,None,coal,uranium
638,2.03,0.00,2.47,0.70
639,2.03,0.00,2.47,0.70
640,2.03,0.00,2.47,0.70
641,2.03,0.00,2.47,0.70
642,2.03,0.00,2.47,0.70
643,2.03,0.00,2.47,0.70
644,2.03,0.00,2.47,0.70
645,2.03,0.00,2.47,0.70
646,2.03,0.00,2.47,0.70
647,2.03,0.00,2.47,0.70
648,2.03,0.00,2.47,0.70
649,2.03,0.00,2.47,0.70
650,2.03,0.00,2.47,0.70
651,2.03,0.00,2.47,0.70
652,2.03,0.00,2.47,0.70
653,2.03,0.00,2.47,0.70
654,2.03,0.00,2.47,0.70
655,2.03,0.00,2.47,0.70
656,2.03,0.00,2.47,0.70
657,2.03,0.00,2.47,0.70
658,2.03,0.00,2.47,0.70
659,2.03,0.00,2.47,0.70
660,2.03,0.00,2.47,0.70
661,2.03,0.00,2.47,0.70
662,2.03,0.00,2.47,0.70
663,2.03,0.00,2.47,0.70
664,2.03,0.00,2.47,0.70
665,2.03,0.00,2.47,0.70
666,2.03,0.00,2.47,0.70
667,2.03,0.00,2.47,0.70
668,2.03,0.00,2.47,0.70
669,2.03,0.00,2.47,0.70
670,2.03,0.00,2.47,0.70
671,2.03,0.00,2.47,0.70
672,2.03,0.00,2.47,0.70
673,2.03,0.00,2.47,0.70
674,2.03,0.00,2.47,0.70
675,2.03,0.00,2.47,0.70
676,2.03,0.00,2.47,0.70
677,2.03,0.00,2.47,0.70
678,2.03,0.00,2.47,0.70
679,2.03,0.00,2.47,0.70
680,2.03,0.00,2.47,0.70
681,2.03,0.00,2.47,0.70
682,2.03,0.00,2.47,0.70
683,2.03,0.00,2.47,0.70
684,2.03,0.00,2.47,0.70
685,2.03,0.00,2.47,0.70
686,2.03,0.00,2.47,0.70
687,2.03,0.00,2.47,0.70
688,2.03,0.00,2.47,0.70
689,2.03,0.00,2.47,0.70
690,2.03,0.00,2.47,0.70
691,2.03,0.00,2.47,0.70
692,2.03,0.00,2.47,0.70
693,2.03,0.00,2.47,0.70
694,2.03,0.00,2.47,0.70
695,2.03,0.00,2.47,0.70
696,2.03,0.00,2.47,0.70
697,2.03,0.00,2.47,0.70
698,2.03,0.00,2.47,0.70
699,2.03,0.00,2.47,0.70
700,2.03,0.00,2.47,0.70
701,2.03,0.00,2.47,0.70
702,2.03,0.00,2.47,0.70
703,2.03,0.00,2.47,0.70
704,2.03,0.00,2.47,0.70
705,2.03,0.00,2.47,0.70
706,2.03,0.00,2.47,0.70
707,2.03,0.00,2.47,0.70
708,2.03,0.00,2.47,0.70
709,2.03,0.00,2.47,0.70
710,2.03,0.00,2.47,0.70
711,2.03,0.00,2.47,0.70
712,2.03,0.00,2.47,0.70
713,2.03,0.00,2.47,0.70
714,2.03,0.00,2.47,0.70
715,2.03,0.00,2.47,0.70
716,2.03,0.00,2.47,0.70
717,2.03,0.00,2.47,0.70
718,2.03,0.00,2.47,0.70
719,2.03,0.00,2.47,0.70
720,2.03,0.00,2.47,0.70
721,2.03,0.00,2.47,0.70
722,2.03,0.00,2.47,0.70
723,2.03,0.00,2.47,0.70
724,2.03,0.00,2.47,0.70
725,2.03,0.00,2.47,0.70
726,2.03,0.00,2.47,0.70
727,2.03,0.00,2.47,0.70
728,2.03,0.00,2.47,0.70
729,2.03,0.00,2.47,0.70
730,2.03,0.00,2.47,0.70
731,2.03,0.00,2.47,0.70
732,2.03,0.00,2.47,0.70
733,2.03,0.00,2.47,0.70
734,2.03,0.00,2.47,0.70
735,2.03,0.00,2.47,0.70
736,2.03,0.00,2.47,0.70
737,2.03,0.00,2.47,0.70
738,2.03,0.00,2.47,0.70
739,2.03,0.00,2.47,0.70
740,2.03,0.00,2.47,0.70
741,2.03,0.00,2.47,0.70
742,2.03,0.00,2.47,0.70
743,2.03,0.00,2.47,0.70
744,2.03,0.00,2.47,0.70
745,2.03,0.00,2.47,0.70
746,2.03,0.00,2.47,0.70
747,2.03,0.00,2.47,0.70
748,2.03,0.00,2.47,0.70
749,2.03,0.00,2.47,0.70
750,2.03,0.00,2.47,0.70
751,2.03,0.00,2.47,0.70
752,2.03,0.00,2.47,0.70
753,2.03,0.00,2.47,0.70
754,2.03,0.00,2.47,0.70
755,2.03,0.00,2.47,0.70
756,2.03,0.00,2.47,0.70
757,2.03,0.00,2.47,0.70
758,2.03,0.00,2.47,0.70
759,2.03,0.00,2.47,0.70
760,2.03,0.00,2.47,0.70
761,2.03,0.00,2.47,0.70
762,2.03,0.00,2.47,0.70
763,2.03,0.00,2.47,0.70
764,2.03,0.00,2.47,0.70
765,2.03,0.00,2.47,0.70
766,2.03,0.00,2.47,0.70
767,2.03,0.00,2.47,0.70
768,2.03,0.00,2.47,0.70
769,2.03,0.00,2.47,0.70
770,2.03,0.00,2.47,0.70
